transfers	n_species	community_id	strep_conc	replicate	OD
7	2	P20	16	1	0.257
8	2	P20	16	1	0.264
1	2	P20	16	2	0.538
3	2	P20	16	2	0.247
5	2	P20	16	2	0.268
7	2	P20	16	2	0.268
8	2	P20	16	2	0.254
1	2	P20	64	1	0.625
3	2	P20	64	1	0.248
5	2	P20	64	1	0.263
7	2	P20	64	1	0.257
8	2	P20	64	1	0.254
1	2	P20	64	2	0.643
3	2	P20	64	2	0.241
5	2	P20	64	2	0.255
7	2	P20	64	2	0.262
8	2	P20	64	2	0.252
1	2	P20	256	1	0.637
3	2	P20	256	1	0.247
5	2	P20	256	1	0.29
7	2	P20	256	1	0.302
8	2	P20	256	1	0.308
1	2	P20	256	2	0.686
3	2	P20	256	2	0.246
5	2	P20	256	2	0.281
7	2	P20	256	2	0.301
8	2	P20	256	2	0.306
1	2	P21	0	1	0.755
3	2	P21	0	1	0.341
5	2	P21	0	1	0.374
7	2	P21	0	1	0.364
8	2	P21	0	1	0.357
1	2	P21	0	2	0.827
3	2	P21	0	2	0.342
5	2	P21	0	2	0.366
7	2	P21	0	2	0.356
8	2	P21	0	2	0.349
1	2	P21	16	1	0.394
3	2	P21	16	1	0.261
5	2	P21	16	1	0.277
7	2	P21	16	1	0.292
8	2	P21	16	1	0.329
1	2	P21	16	2	0.353
3	2	P21	16	2	0.272
5	2	P21	16	2	0.29
7	2	P21	16	2	0.343
8	2	P21	16	2	0.354
1	2	P21	64	1	0.345
3	2	P21	64	1	0.238
5	2	P21	64	1	0.256
7	2	P21	64	1	0.252
8	2	P21	64	1	0.252
1	2	P21	64	2	0.346
3	2	P21	64	2	0.236
5	2	P21	64	2	0.255
7	2	P21	64	2	0.249
8	2	P21	64	2	0.237
1	2	P21	256	1	0.306
3	2	P21	256	1	0.213
5	2	P21	256	1	0.247
7	2	P21	256	1	0.242
8	2	P21	256	1	0.24
1	2	P21	256	2	0.319
3	2	P21	256	2	0.227
5	2	P21	256	2	0.255
7	2	P21	256	2	0.25
8	2	P21	256	2	0.239
1	2	P22	0	1	0.749
3	2	P22	0	1	0.299
5	2	P22	0	1	0.341
7	2	P22	0	1	0.326
8	2	P22	0	1	0.297
1	2	P22	0	2	0.787
3	2	P22	0	2	0.335
5	2	P22	0	2	0.324
7	2	P22	0	2	0.331
8	2	P22	0	2	0.32
1	2	P22	16	1	0.851
3	2	P22	16	1	0.313
5	2	P22	16	1	0.327
7	2	P22	16	1	0.316
8	2	P22	16	1	0.322
1	2	P22	16	2	0.823
3	2	P22	16	2	0.32
5	2	P22	16	2	0.323
7	2	P22	16	2	0.348
8	2	P22	16	2	0.33
1	2	P22	64	1	0.82
3	2	P22	64	1	0.327
5	2	P22	64	1	0.338
7	2	P22	64	1	0.324
8	2	P22	64	1	0.286
1	2	P22	64	2	0.626
3	2	P22	64	2	0.311
5	2	P22	64	2	0.315
7	2	P22	64	2	0.329
8	2	P22	64	2	0.295
1	2	P22	256	1	0.626
3	2	P22	256	1	0.324
5	2	P22	256	1	0.331
7	2	P22	256	1	0.326
8	2	P22	256	1	0.33
1	2	P22	256	2	0.619
3	2	P22	256	2	0.312
5	2	P22	256	2	0.317
7	2	P22	256	2	0.317
8	2	P22	256	2	0.323
1	2	P23	0	1	0.373
3	2	P23	0	1	0.326
5	2	P23	0	1	0.36
7	2	P23	0	1	0.354
8	2	P23	0	1	0.355
1	2	P23	0	2	0.364
3	2	P23	0	2	0.344
5	2	P23	0	2	0.351
7	2	P23	0	2	0.343
8	2	P23	0	2	0.332
1	2	P23	16	1	0.356
3	2	P23	16	1	0.237
5	2	P23	16	1	0.251
7	2	P23	16	1	0.294
8	2	P23	16	1	0.327
1	2	P23	16	2	0.337
3	2	P23	16	2	0.243
5	2	P23	16	2	0.266
7	2	P23	16	2	0.275
8	2	P23	16	2	0.278
1	2	P23	64	1	0.353
3	2	P23	64	1	0.246
5	2	P23	64	1	0.251
7	2	P23	64	1	0.248
8	2	P23	64	1	0.239
1	2	P23	64	2	0.357
3	2	P23	64	2	0.243
5	2	P23	64	2	0.251
7	2	P23	64	2	0.253
8	2	P23	64	2	0.237
1	2	P23	256	1	0.353
3	2	P23	256	1	0.234
5	2	P23	256	1	0.27
7	2	P23	256	1	0.242
8	2	P23	256	1	0.229
1	2	P23	256	2	0.352
3	2	P23	256	2	0.23
5	2	P23	256	2	0.259
7	2	P23	256	2	0.247
8	2	P23	256	2	0.237
1	2	P24	0	1	0.602
